pokemon_id,name,rarity,ability_id,type_id_1,type_id_2,weight,height,hp,attack,defense,sp_attack,sp_defense,speed,description
27,sandshrew,1,8,5,-1,120,6,50,75,85,20,30,40,"Sandshrew has a very dry hide that is extremely tough.  The Pokemon can roll into a ball that repels any attack.  At night, it burrows into the desert sand to sleep."
28,sandslash,1,8,5,-1,295,10,75,100,110,45,55,65,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokemon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws."
29,nidoran-f,1,38,4,-1,70,4,55,47,52,40,40,41,"Nidoran♀ has barbs that secrete a powerful poison.  They are thought to have developed as protection for this small-bodied Pokemon. When enraged, it releases a horrible toxin from its horn."
30,nidorina,1,38,4,-1,200,8,70,62,67,55,55,56,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other.  This Pokemon appears to become nervous if separated from the others."
31,nidoqueen,10,38,4,5,600,13,90,92,87,75,85,76,Nidoqueen's body is encased in extremely hard scales.  It is adept at sending foes flying with harsh tackles. This Pokemon is at its strongest when it is defending its young.
32,nidoran-m,1,38,4,-1,90,5,46,57,40,40,40,50,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokemon's notice."
33,nidorino,1,38,4,-1,195,9,61,72,57,55,55,65,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might."
34,nidoking,10,38,4,5,620,14,81,102,77,85,75,85,"Nidoking's thick tail packs enormously destructive power.  With one swing, it can topple a metal transmission tower. Once this Pokemon goes on a rampage, there is no stopping it."
35,clefairy,3,56,18,-1,75,6,70,45,48,60,65,35,"On every night of a full moon, groups of this Pokemon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other."
36,clefable,7,56,18,-1,400,13,95,70,73,95,90,60,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water.  It is known to take strolls on lakes on quiet, moonlit nights."
37,vulpix,3,18,10,-1,99,6,38,41,40,50,65,65,"Inside Vulpix's body burns a flame that never goes out.  During the daytime, when the temperatures rise, this Pokemon releases flames from its mouth to prevent its body from growing too hot."
38,ninetales,10,18,10,-1,199,11,73,76,75,81,100,100,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one.  This Pokemon is highly intelligent-it can understand human speech.
39,jigglypuff,1,56,1,18,55,5,115,45,20,45,25,20,"When this Pokemon sings, it never pauses to breathe.  If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life."
40,wigglytuff,4,56,1,18,120,10,140,70,45,85,50,45,"Wigglytuff's body is very flexible. By inhaling deeply, this Pokemon can inflate itself seemingly without end.  Once inflated, Wigglytuff bounces along lightly like a balloon."
41,zubat,1,39,4,3,75,8,40,45,35,30,40,55,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
42,golbat,1,39,4,3,550,16,75,80,70,65,75,90,"Golbat bites down on prey with its four fangs and drinks the victim's blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokemon."
43,oddish,1,34,12,4,54,5,45,50,55,75,65,30,"Oddish searches for fertile, nutrient-rich soil, then plants itself.  During the daytime, while it is planted, this Pokemon's feet are thought to change shape and become similar to the roots of trees."
44,gloom,1,34,12,4,86,8,60,65,70,85,75,40,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey."
45,vileplume,4,34,12,4,186,12,75,80,85,110,90,50,"Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokemon catches and devours them."
46,paras,1,27,7,12,54,3,35,70,55,45,55,25,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokemon host. They are highly valued as a medicine for extending life.
47,parasect,1,27,7,12,295,10,60,95,80,60,80,30,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once."
48,venonat,1,14,7,4,300,10,60,55,50,40,55,45,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey."
49,venomoth,1,19,7,4,125,15,70,65,60,90,75,90,"Venomoth is nocturnal-it is a Pokemon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
50,diglett,1,8,5,-1,8,2,10,55,25,35,45,95,"Diglett are raised in most farms. The reason is simple- wherever this Pokemon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
51,dugtrio,2,8,5,-1,333,7,35,100,50,50,70,120,"Dugtrio are actually triplets that emerged from one body.  As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
52,meowth,1,53,1,-1,42,4,40,45,35,40,40,90,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokemon loves shiny coins that glitter with light."
53,persian,2,7,1,-1,320,10,65,70,60,65,65,115,Persian has six bold whiskers that give it a look of toughness.  The whiskers sense air movements to determine what is in the Pokemon's surrounding vicinity. It becomes docile if grabbed by the whiskers.
54,psyduck,1,6,11,-1,196,8,50,52,48,65,50,55,"If it uses its mysterious power, Psyduck can't remember having done so. It apparently can't form a memory of such an event because it goes into an altered state that is much like deep sleep."
55,golduck,1,6,11,-1,766,17,80,82,78,95,80,85,"Golduck is the fastest swimmer among all Pokemon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas."
56,mankey,1,72,2,-1,280,5,40,80,35,35,45,70,"When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
57,primeape,2,72,2,-1,320,10,65,105,60,60,70,95,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger.  However, it also becomes much less intelligent at the same time."
58,growlithe,4,22,10,-1,190,7,55,70,45,70,50,60,"Growlithe has a superb sense of smell. Once it smells anything, this Pokemon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things."
59,arcanine,10,22,10,-1,1550,19,90,110,80,100,80,95,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokemon's body is its source of power."
60,poliwag,1,11,11,-1,124,6,40,50,40,40,40,90,"Poliwag has a very thin skin. It is possible to see the Pokemon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
61,poliwhirl,4,11,11,-1,200,10,65,65,65,50,50,90,"The surface of Poliwhirl's body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle."
62,poliwrath,5,11,11,2,540,13,90,95,95,70,90,70,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokemon can swim back and forth across the ocean without effort."
63,abra,5,28,14,-1,195,9,25,20,15,105,55,90,"Abra needs to sleep for eighteen hours a day. If it doesn't, this Pokemon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping."
64,kadabra,4,28,14,-1,565,13,40,35,30,120,70,105,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokemon is said to be limited to half the usual amount of its telekinetic powers."
65,alakazam,10,28,14,-1,480,15,55,50,45,135,95,120,"Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokemon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
66,machop,1,62,2,-1,195,8,70,80,50,35,35,35,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.
67,machoke,1,62,2,-1,705,15,80,100,70,50,60,45,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor.  On its days off, this Pokemon heads to the fields and mountains to exercise and train."
68,machamp,10,62,2,-1,1300,16,90,130,80,65,85,55,"Machamp is known as the Pokemon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon."
69,bellsprout,1,34,12,4,40,7,50,75,35,70,30,40,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokemon spits a corrosive fluid that melts even iron."
70,weepinbell,1,34,12,4,64,10,65,90,50,85,45,55,"Weepinbell has a large hook on its rear end. At night, the Pokemon hooks on to a tree branch and goes to sleep.  If it moves around in its sleep, it may wake up to find itself on the ground."
71,victreebel,3,34,12,4,155,17,80,105,65,100,70,70,"Victreebel has a long vine that extends from its head.  This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokemon swallows it whole."
72,tentacool,1,29,11,4,455,9,40,40,35,50,100,70,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokemon shoots beams from the small round organ above its eyes.
73,tentacruel,1,29,11,4,550,16,80,70,65,80,120,100,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin.  It can catch up to 80 prey at the same time.
74,geodude,1,69,6,5,200,4,40,80,100,30,30,20,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly.  In the morning, this Pokemon rolls downhill in search of food."
75,graveler,1,69,6,5,1050,10,55,95,115,45,45,35,"Rocks are Graveler's favorite food. This Pokemon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom."
76,golem,10,69,6,5,3000,14,80,120,130,55,65,45,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokemon's course."
77,ponyta,4,50,10,-1,300,10,50,85,55,65,65,90,Ponyta is very weak at birth. It can barely stand up.  This Pokemon becomes stronger by stumbling and falling to keep up with its parent.
78,rapidash,6,50,10,-1,950,17,65,100,70,80,80,105,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokemon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
79,slowpoke,1,12,11,14,360,12,90,65,65,40,40,15,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokemon often forgets what it's doing and often spends entire days just loafing at water's edge."
80,slowbro,1,12,11,14,785,16,95,75,110,100,80,30,"Slowbro's tail has a Shellder firmly attached with a bite.  As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead."
81,magnemite,1,42,13,9,60,3,25,35,70,95,55,45,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokemon becomes incapable of flight if its internal electrical supply is depleted.
82,magneton,2,42,13,9,600,10,50,60,95,120,70,70,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokemon inside a Poke Ball."
83,farfetchd,3,51,1,3,150,8,52,90,55,58,62,60,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokemon has been known to fight with others over stalks."
84,doduo,1,50,1,3,392,14,35,85,45,35,35,75,"Doduo's two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokemon possessing different sets of brains."
85,dodrio,1,50,1,3,852,18,60,110,70,60,60,110,"Apparently, the heads aren't the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest."
86,seel,1,47,11,-1,900,11,65,45,55,45,70,45,"Seel hunts for prey in the frigid sea underneath sheets of ice.  When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head."
87,dewgong,2,47,11,15,1200,17,90,70,80,70,95,70,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokemon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.
88,grimer,1,1,4,-1,300,9,80,80,50,40,50,25,Grimer emerged from the sludge that settled on a polluted seabed. This Pokemon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.
89,muk,3,1,4,-1,300,12,105,105,75,65,100,50,"This Pokemon's favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather."
90,shellder,7,75,11,-1,40,3,30,65,100,45,25,40,"At night, this Pokemon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out."
91,cloyster,7,75,11,15,1325,15,50,95,180,85,45,70,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokemon shoots spikes from its shell using the same system."
92,gastly,3,26,8,4,1,13,30,35,30,100,35,80,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away.  Groups of this Pokemon cluster under the eaves of houses to escape the ravages of wind."
93,haunter,4,26,8,4,1,16,45,50,45,115,55,95,"Haunter is a dangerous Pokemon. If one beckons you while floating in darkness, you must never approach it. This Pokemon will try to lick you with its tongue and steal your life away."
94,gengar,10,130,8,4,405,15,60,65,60,130,75,110,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you.  It is actually a Gengar running past you, pretending to be your shadow."
95,onix,3,69,6,5,2100,88,35,45,160,30,45,70,"Onix has a magnet in its brain. It acts as a compass so that this Pokemon does not lose direction while it is tunneling.  As it grows older, its body becomes increasingly rounder and smoother."
96,drowzee,1,15,14,-1,324,10,60,48,45,43,90,42,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokemon is standing above your pillow and trying to eat your dream through your nostrils."
97,hypno,2,15,14,-1,756,16,85,73,70,73,115,67,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokemon searches for prey, it polishes the pendulum."
98,krabby,1,52,11,-1,65,4,30,105,90,25,25,50,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokemon can be seen squabbling with each other over territory."
99,kingler,2,52,11,-1,600,13,55,130,115,50,50,75,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokemon quickly tires."
100,voltorb,1,43,13,-1,104,5,40,30,50,55,55,100,Voltorb is extremely sensitive-it explodes at the slightest of shocks. It is rumored that it was first created when a Poke Ball was exposed to a powerful pulse of energy.
101,electrode,2,43,13,-1,666,12,60,50,70,80,80,150,One of Electrode's characteristics is its attraction to electricity.  It is a problematical Pokemon that congregates mostly at electrical power plants to feed on electricity that has just been generated.
102,exeggcute,4,34,12,14,25,4,60,40,80,60,45,40,"This Pokemon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around.  When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
103,exeggutor,10,34,12,14,1200,20,95,95,85,125,75,55,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute."
104,cubone,5,69,5,-1,65,4,50,50,95,40,50,35,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokemon wears are made by the tears it sheds."
105,marowak,5,69,5,-1,450,10,60,80,110,50,80,45,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokemon's tempered and hardened spirit is not easily broken.
106,hitmonlee,8,7,2,-1,498,15,50,120,53,35,110,87,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks.  After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
107,hitmonchan,8,51,2,-1,502,14,50,105,79,35,110,76,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokemon has an indomitable spirit and will never give up in the face of adversity.
108,lickitung,5,20,1,-1,655,12,90,55,75,60,75,30,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
109,koffing,2,26,4,-1,10,6,40,65,95,60,45,35,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokemon."
110,weezing,5,26,4,-1,95,12,65,90,120,85,70,60,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokemon also becomes more putrid."
111,rhyhorn,4,31,5,6,1150,10,80,85,95,30,30,25,"Rhyhorn's brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something."
112,rhydon,5,31,5,6,1200,19,105,130,120,45,45,40,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokemon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat."
113,chansey,8,30,1,-1,346,11,250,5,5,35,105,50,"Chansey lays nutritionally excellent eggs on an everyday basis.  The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
114,tangela,2,34,12,-1,350,10,65,55,115,100,40,60,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway.  The lost vines are replaced by newly grown vines the very next day."
115,kangaskhan,8,48,1,-1,800,22,105,95,80,40,80,90,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokemon's parent is sure to be in the area, and it will become violently enraged at you."
116,horsea,2,33,11,-1,80,4,30,40,70,70,25,60,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokemon swims by cleverly flapping the fin on its back."
117,seadra,3,38,11,-1,250,12,55,65,95,95,45,85,"Seadra generates whirlpools by spinning its body.  The whirlpools are strong enough to swallow even fishing boats. This Pokemon weakens prey with these currents, then swallows it whole."
118,goldeen,1,33,11,-1,150,6,45,67,60,35,50,63,"Goldeen loves swimming wild and free in rivers and ponds.  If one of these Pokemon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape."
119,seaking,2,33,11,-1,390,13,80,92,65,65,80,68,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokemon goes on for over a month.
120,staryu,7,35,11,-1,345,8,30,45,55,70,55,85,"Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokemon simply regenerates the missing pieces and limbs."
121,starmie,10,35,11,14,800,11,60,75,85,100,85,115,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokemon's body glows in seven colors.
122,mr-mime,8,43,14,18,545,13,40,45,65,100,120,90,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists.  Once the watchers are convinced, the unseeable thing exists as if it were real."
123,scyther,8,68,7,3,560,15,70,110,80,55,80,105,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokemon's scythes are so effective, they can slice through thick logs in one wicked stroke."
124,jynx,6,12,15,14,406,14,65,50,35,115,95,95,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
125,electabuzz,9,9,13,-1,300,11,65,83,57,95,85,105,"When a storm arrives, gangs of this Pokemon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods."
126,magmar,8,49,10,-1,445,13,65,95,57,100,85,93,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokemon's fiery bursts create heat waves that ignite grass and trees in its surroundings."
127,pinsir,8,52,7,-1,550,15,65,125,100,55,70,85,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe's body when the pincer closes, making it tough for the foe to escape."
128,tauros,5,22,1,-1,884,14,75,100,95,40,70,110,"This Pokemon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself."
129,magikarp,1,33,11,-1,100,9,20,10,55,15,20,80,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokemon that can survive in any body of water no matter how polluted it is."
130,gyarados,1,22,11,3,2350,65,95,125,79,60,100,81,"Once Gyarados goes on a rampage, its ferociously violent blood doesn't calm until it has burned everything down.  There are records of this Pokemon's rampages lasting a whole month."
131,lapras,9,11,11,15,2200,25,130,85,80,85,95,60,"People have driven Lapras almost to the point of extinction.  In the evenings, this Pokemon is said to sing plaintively as it seeks what few others of its kind still remain."
132,ditto,7,7,1,-1,40,3,48,48,48,48,48,48,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokemon manages to get details wrong."
133,eevee,9,50,1,-1,65,3,55,55,50,45,65,55,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokemon to evolve.
134,vaporeon,10,11,11,-1,290,10,130,65,60,110,95,65,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokemon has the ability to freely control water.
135,jolteon,10,10,13,-1,245,8,65,65,60,110,95,130,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokemon to drop thunderbolts. The bristling fur is made of electrically charged needles."
136,flareon,10,18,10,-1,250,9,65,130,60,95,110,65,"Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot.  This Pokemon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit."
137,porygon,10,36,1,-1,365,8,65,60,70,85,75,40,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokemon is copy protected so it cannot be duplicated by copying.
138,omanyte,10,33,6,11,75,4,35,40,100,90,55,35,"Omanyte is one of the ancient and long-since-extinct Pokemon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell."
139,omastar,10,33,6,11,350,10,70,60,125,115,70,55,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous."
140,kabuto,10,33,6,11,115,5,30,80,90,55,45,55,"Kabuto is a Pokemon that has been regenerated from a fossil.  However, in extremely rare cases, living examples have been discovered. The Pokemon has not changed at all for 300 million years."
141,kabutops,10,33,6,11,405,13,60,115,105,65,70,80,Kabutops swam underwater to hunt for its prey in ancient times. The Pokemon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.
142,aerodactyl,10,69,6,3,590,18,80,105,65,60,75,130,Aerodactyl is a Pokemon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
